epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,3088.26,0.76193,0.56677,1.09097,0.76325,0.69044,0.75923,0.54832,0.86906,0.60755,1.23987,0.004786,0.004786,0.004786
81,3126.78,0.75111,0.55103,1.08633,0.77977,0.7066,0.77275,0.54072,0.89349,0.59329,1.25532,0.00472,0.00472,0.00472
82,3165.3,0.75008,0.55339,1.08473,0.75039,0.6911,0.7625,0.54355,0.89206,0.61099,1.28765,0.004654,0.004654,0.004654
83,3203.8,0.74392,0.55285,1.07251,0.69892,0.72468,0.72841,0.52711,0.90775,0.61665,1.29531,0.004588,0.004588,0.004588
84,3242.3,0.74878,0.54887,1.07671,0.77776,0.87453,0.78579,0.55468,0.88741,0.59073,1.2483,0.004522,0.004522,0.004522
85,3280.8,0.74195,0.54222,1.07277,0.70929,0.72265,0.76157,0.53204,0.92318,0.60507,1.28888,0.004456,0.004456,0.004456
86,3319.32,0.73766,0.52938,1.0693,0.72895,0.86066,0.77946,0.55795,0.89715,0.60513,1.28503,0.00439,0.00439,0.00439
87,3357.87,0.74627,0.54949,1.08125,0.77488,0.72725,0.75698,0.55481,0.87223,0.62019,1.25686,0.004324,0.004324,0.004324
88,3396.47,0.74532,0.55406,1.08338,0.74371,0.73802,0.75995,0.53899,0.90199,0.61388,1.26934,0.004258,0.004258,0.004258
89,3434.91,0.73246,0.52357,1.06091,0.72282,0.69081,0.72386,0.53165,0.86952,0.61092,1.22744,0.004192,0.004192,0.004192
90,3473.55,0.74102,0.5423,1.07689,0.75432,0.85909,0.77502,0.55032,0.89151,0.61567,1.24768,0.004126,0.004126,0.004126
91,3512.09,0.7219,0.5291,1.06752,0.71519,0.70996,0.75603,0.55795,0.86711,0.60232,1.24347,0.00406,0.00406,0.00406
92,3550.63,0.73426,0.53754,1.07207,0.7691,0.66893,0.74041,0.53864,0.87807,0.61564,1.25575,0.003994,0.003994,0.003994
93,3589.19,0.73136,0.53099,1.07677,0.75189,0.69343,0.7395,0.53645,0.87015,0.58956,1.25276,0.003928,0.003928,0.003928
94,3627.59,0.71945,0.5216,1.06563,0.77065,0.68481,0.74226,0.54164,0.86523,0.59907,1.24875,0.003862,0.003862,0.003862
95,3665.99,0.72436,0.53023,1.0721,0.74032,0.80404,0.81075,0.60919,0.85599,0.60329,1.24524,0.003796,0.003796,0.003796
96,3704.42,0.7157,0.51581,1.0609,0.73688,0.72626,0.77041,0.54865,0.85985,0.60331,1.25982,0.00373,0.00373,0.00373
97,3742.91,0.72274,0.53115,1.06737,0.71097,0.7303,0.75608,0.54508,0.8564,0.60268,1.2403,0.003664,0.003664,0.003664
98,3781.54,0.71047,0.51432,1.06011,0.75677,0.6866,0.74499,0.55575,0.84187,0.58243,1.21892,0.003598,0.003598,0.003598
99,3819.97,0.71704,0.51273,1.06069,0.74484,0.67805,0.71441,0.5204,0.86463,0.65282,1.2536,0.003532,0.003532,0.003532
100,3858.39,0.71988,0.51341,1.0674,0.72452,0.7298,0.75539,0.54961,0.86265,0.56576,1.24568,0.003466,0.003466,0.003466
101,3896.94,0.71026,0.51196,1.05827,0.73814,0.70218,0.72905,0.52999,0.88388,0.60321,1.26522,0.0034,0.0034,0.0034
102,3935.42,0.69517,0.50129,1.04609,0.71024,0.73146,0.72967,0.53656,0.86398,0.60428,1.24277,0.003334,0.003334,0.003334
